portfolio_id,client_id,portfolio_name,start_date,status,intial_investment
1,5167,Emergency,2024-09-30,Active,94506
10,11,Emergency,2024-12-22,Active,66951
100,663,Education Fund,2024-06-02,Inactive,5543
1000,5307,Emergency,2024-08-07,Closed,167371
1001,4003,Retirement Plan,2025-01-05,Closed,196010
1002,3054,Growth Fund,2024-09-14,Closed,109476
1003,2265,Growth Fund,2024-08-16,Active,114973
1004,5910,High-Yield,2024-05-16,Closed,78739
1005,5012,Growth Fund,2025-01-02,Active,52704
1006,2188,Emergency,2024-05-09,Active,154600
1007,251,High-Yield,2024-10-04,Inactive,58897
1008,1962,Emergency,2024-10-30,Active,9330
1009,6900,Retirement Plan,2024-04-18,Closed,122755
101,6806,Growth Fund,2024-12-11,Closed,45991
1010,5016,High-Yield,2024-08-17,Closed,197333
1011,5077,Retirement Plan,2024-05-14,Closed,108076
1012,5534,High-Yield,2024-07-12,Closed,53010
1013,4577,Growth Fund,2024-05-30,Inactive,30211
1014,5300,Emergency,2024-06-03,Active,54780
1015,1416,High-Yield,2024-06-30,Active,104918
1016,2575,High-Yield,2024-11-20,Closed,186087
1017,5286,Retirement Plan,2025-02-21,Active,19915
1018,3629,Emergency,2024-07-26,Inactive,30730
1019,4582,High-Yield,2024-04-19,Active,46545
102,3631,High-Yield,2024-05-21,Closed,192054
1020,5153,Education Fund,2025-03-04,Active,13948
1021,447,Emergency,2025-03-06,Closed,35446
1022,4116,Growth Fund,2024-08-14,Closed,125949
1023,2456,Emergency,2024-12-09,Closed,144855
1024,6966,Growth Fund,2024-06-12,Active,104846
1025,4344,Retirement Plan,2024-12-14,Closed,125262
1026,2053,Education Fund,2024-06-14,Inactive,164162
1027,1008,Education Fund,2025-01-02,Closed,171751
1028,3945,Education Fund,2025-03-03,Closed,128542
1029,3779,Growth Fund,2024-10-21,Active,60241
103,3558,Growth Fund,2025-01-30,Closed,107766
1030,1832,High-Yield,2025-01-08,Closed,157765
1031,5811,Education Fund,2024-08-10,Active,89819
1032,5677,Emergency,2025-01-08,Inactive,18282
1033,922,Retirement Plan,2024-04-18,Closed,172123
1034,2052,Education Fund,2024-05-12,Inactive,138576
1035,3528,Growth Fund,2024-07-08,Active,123599
1036,6041,Emergency,2025-04-01,Closed,97746
1037,4529,Education Fund,2024-09-09,Closed,98957
1038,4039,High-Yield,2025-02-14,Inactive,74702
1039,305,Retirement Plan,2024-06-14,Inactive,101100
104,3560,Education Fund,2024-06-22,Inactive,157112
1040,3739,Growth Fund,2025-01-14,Closed,118353
1041,5754,Emergency,2024-04-29,Closed,59662
1042,4563,Education Fund,2024-12-21,Closed,53669
1043,1475,Education Fund,2024-08-18,Active,120267
1044,6863,Education Fund,2025-04-03,Closed,93709
1045,3980,Emergency,2025-03-17,Inactive,83421
1046,967,Education Fund,2024-05-27,Inactive,89263
1047,898,Retirement Plan,2024-07-20,Closed,128606
1048,857,Education Fund,2024-05-02,Closed,168727
1049,154,Education Fund,2024-08-27,Active,16866
105,1867,Emergency,2024-08-13,Inactive,79138
1050,6912,High-Yield,2024-04-28,Active,119230
1051,5005,High-Yield,2025-02-09,Inactive,100678
1052,855,Emergency,2024-11-11,Closed,31617
1053,654,Growth Fund,2025-01-29,Inactive,12841
1054,384,Growth Fund,2024-06-30,Active,40277
1055,2419,Emergency,2025-01-03,Active,67387
1056,631,Growth Fund,2024-07-06,Closed,25943
1057,3910,High-Yield,2025-03-11,Active,130813
1058,1448,Retirement Plan,2024-11-27,Active,169366
1059,4022,Retirement Plan,2024-12-25,Closed,15252
106,4961,High-Yield,2024-06-22,Inactive,39506
1060,2974,High-Yield,2024-09-09,Active,145889
1061,1432,High-Yield,2024-07-28,Closed,199012
1062,5315,High-Yield,2024-08-11,Closed,65921
1063,183,High-Yield,2024-08-11,Inactive,181359
1064,3185,Education Fund,2024-07-26,Active,10123
1065,2538,Growth Fund,2024-09-18,Closed,33919
1066,3692,High-Yield,2024-10-27,Inactive,45268
1067,5022,Education Fund,2024-11-01,Closed,195590
1068,6712,Growth Fund,2024-08-20,Inactive,137449
1069,1277,Retirement Plan,2025-01-01,Inactive,32829
107,6646,Education Fund,2025-01-09,Closed,31053
1070,775,High-Yield,2024-04-20,Active,71962
1071,3856,Retirement Plan,2024-05-04,Active,53845
1072,616,High-Yield,2024-06-13,Closed,140622
1073,3296,Emergency,2024-10-03,Active,8034
1074,2602,Retirement Plan,2025-02-26,Inactive,114325
1075,2607,High-Yield,2025-01-11,Closed,119866
1076,1501,Emergency,2025-02-21,Closed,161217
1077,3226,Growth Fund,2025-03-10,Active,153621
1078,6141,Growth Fund,2024-07-18,Closed,55482
1079,2137,Education Fund,2024-08-11,Active,99073
108,4267,Education Fund,2025-01-10,Closed,190482
1080,5604,Education Fund,2024-09-12,Active,78205
1081,6380,Emergency,2024-11-17,Active,186222
1082,439,Emergency,2025-02-09,Inactive,117815
1083,5617,High-Yield,2024-10-19,Active,182991
1084,5655,Retirement Plan,2025-04-03,Inactive,154295
1085,5927,Growth Fund,2024-04-14,Inactive,91917
1086,861,High-Yield,2024-08-08,Inactive,90371
1087,3752,Retirement Plan,2025-02-16,Inactive,12070
1088,4810,Education Fund,2025-02-28,Active,141073
1089,1620,Growth Fund,2024-09-04,Active,32200
109,1528,Growth Fund,2024-05-25,Closed,70629
1090,230,Emergency,2024-12-02,Active,83207
1091,3940,Emergency,2024-06-12,Active,159243
1092,1269,Education Fund,2024-10-07,Closed,177352
1093,143,Retirement Plan,2024-09-21,Active,79844
1094,6624,Retirement Plan,2025-02-17,Active,34255
1095,5588,Emergency,2024-10-03,Active,90299
1096,6705,Growth Fund,2024-10-16,Closed,43970
1097,857,Retirement Plan,2024-12-01,Inactive,60454
1098,1250,Growth Fund,2025-02-23,Inactive,101778
1099,5699,Education Fund,2025-01-06,Closed,104404
11,6640,Education Fund,2024-05-07,Active,178449
110,4923,Education Fund,2024-11-07,Closed,184463
1100,128,Retirement Plan,2024-07-24,Active,81160
1101,5831,Growth Fund,2024-07-24,Active,58776
1102,6191,High-Yield,2024-08-27,Active,33330
1103,276,Education Fund,2025-02-25,Closed,19980
1104,5971,Retirement Plan,2024-12-21,Closed,118564
1105,4737,Education Fund,2025-01-17,Inactive,53156
1106,1247,High-Yield,2024-06-29,Closed,124792
1107,3719,High-Yield,2024-05-19,Active,162244
1108,6634,High-Yield,2025-01-23,Inactive,123348
