transaction_id,portfolio_id,transaction_date,asset_type,amount,transaction_type
1,3324,2024-05-06,Bond,-755.0,SELL
2,5663,2024-11-12,Bond,4365.0,Buy
3,3511,2024-10-05,,2128.0,Sell
4,6341,2025-04-09,STOCK,4995.0,Buy
5,2972,2024-12-20,Crypto,40.0,Buy
6,2776,2025-03-13,STOCK,815.0,SELL
7,3705,2025-03-31,bond,373.0,BUY
8,1963,2025-01-25,Crypto,948.0,Sell
9,5883,2024-10-20,Crypto,79.0,BUY
10,5923,2024-05-04,STOCK,-1263.0,Buy
11,948,2024-12-01,Stock,2803.0,Sell
12,920,2024-08-16,Stock,-1373.0,Buy
13,1025,2025-03-11,STOCK,2009.0,Buy
14,2253,2025-03-05,Bond,2125.0,Sell
15,3625,2024-10-19,ETF,3514.0,SELL
16,5981,2025-01-30,etf,77.0,Buy
17,2212,2024-11-27,Crypto,1040.0,Sell
18,2920,2025-01-14,Bond,-690.0,
19,5871,2024-08-13,stock,-1242.0,Sell
20,4616,2025-03-13,Bond,49.0,Sell
21,587,2025-03-11,STOCK,2503.0,Buy
22,3218,2025-01-29,STOCK,-55.0,Sell
23,2256,2024-12-17,,-96.0,Sell
24,896,2024-11-04,STOCK,-1685.0,BUY
25,3740,2024-05-24,Bond,3984.0,SELL
26,5342,2024-11-19,Bond,-1912.0,Sell
27,5934,2024-11-09,ETF,1846.0,
28,3630,2024-04-29,ETF,-1476.0,Sell
29,3258,2025-02-26,ETF,-1809.0,Buy
30,3995,2024-12-28,Crypto,-586.0,Buy
31,3865,2024-10-17,Bond,374.0,Buy
32,1250,2024-07-20,Crypto,-971.0,
33,5811,2024-05-16,ETF,941.0,Sell
34,1712,2024-08-08,etf,-623.0,Buy
35,2878,2024-05-22,Stock,1988.0,Buy
36,3003,2025-01-15,ETF,1474.0,Sell
37,629,2024-10-07,Bond,2892.0,Sell
38,4563,2024-07-12,ETF,3701.0,Sell
39,2472,2024-09-01,Stock,1069.0,Sell
40,349,2024-12-25,,4992.0,Sell
41,4590,2025-03-18,Bond,1989.0,Sell
42,888,2024-05-03,Crypto,-1572.0,BUY
43,1490,2024-10-27,,227.0,Sell
44,4130,2024-10-09,ETF,3294.0,
45,4434,2024-09-20,,1619.0,
46,4619,2024-08-18,Crypto,3087.0,
47,1467,2024-11-10,STOCK,2242.0,Sell
48,571,2024-09-21,ETF,-1039.0,Buy
49,1738,2024-07-29,Crypto,2367.0,Sell
50,3013,2024-11-28,Crypto,3717.0,BUY
51,1734,2024-04-20,Stock,3733.0,Sell
52,859,2024-07-01,STOCK,4785.0,Sell
53,5997,2024-08-30,Crypto,483.0,BUY
54,3810,2025-02-01,Crypto,-1527.0,Buy
55,4752,2024-11-29,stock,-859.0,SELL
56,5156,2025-03-15,Stock,4858.0,Sell
57,1626,2024-08-05,etf,1230.0,
58,932,2024-09-25,ETF,2260.0,SELL
59,6003,2024-05-23,etf,825.0,Sell
60,5945,2024-12-05,stock,3473.0,Buy
61,5015,2025-02-12,Crypto,734.0,Sell
62,2064,2024-09-01,Stock,892.0,Buy
63,3546,2024-06-23,Crypto,1853.0,Sell
64,161,2024-10-04,etf,-1909.0,Sell
65,534,2024-10-17,stock,950.0,BUY
66,3385,2025-03-16,bond,2219.0,Buy
67,3898,2024-08-26,Bond,4903.0,Buy
68,900,2024-06-16,bond,-653.0,
69,1484,2025-02-11,Crypto,158.0,Sell
70,3743,2024-10-21,Crypto,214.0,
71,5752,2024-06-06,ETF,4135.0,Buy
72,339,2025-01-12,STOCK,-1069.0,Buy
73,3882,2024-11-27,ETF,2969.0,Buy
74,667,2024-11-30,Stock,-1951.0,
75,2105,2024-05-03,ETF,-1586.0,Sell
76,2098,2024-07-21,,1466.0,Sell
77,513,2025-01-23,Crypto,4602.0,
78,931,2024-12-10,Crypto,-1951.0,Sell
79,5120,2024-05-26,etf,-1275.0,Buy
80,133,2024-10-03,ETF,3741.0,Buy
81,5326,2024-12-15,Crypto,1252.0,BUY
82,5015,2024-12-09,Bond,3558.0,Sell
83,4186,2025-01-20,ETF,4993.0,Sell
84,3724,2024-08-29,stock,4108.0,Sell
85,1425,2024-08-09,ETF,1885.0,Buy
86,4939,2025-04-07,Stock,-1893.0,Sell
87,3860,2024-11-02,Bond,-779.0,
88,37,2024-06-29,Stock,3.0,SELL
89,6088,2024-11-04,Crypto,2948.0,Buy
90,3308,2024-07-02,Stock,3152.0,Buy
91,5257,2024-08-20,Stock,1332.0,Buy
92,6402,2024-06-29,Stock,1173.0,Sell
93,4650,2024-11-11,STOCK,969.0,Sell
94,5066,2024-11-18,etf,1590.0,Sell
95,763,2024-12-14,Crypto,-1076.0,Sell
96,884,2024-10-03,Crypto,,Sell
97,2273,2025-02-07,ETF,4971.0,Sell
98,4029,2024-12-07,ETF,4262.0,Buy
99,741,2025-03-21,ETF,-93.0,Sell
100,4407,2025-01-26,stock,3451.0,Sell
101,2483,2024-07-30,Crypto,1326.0,Buy
102,2850,2024-11-19,Bond,3987.0,Buy
103,5154,2024-07-27,Crypto,-886.0,
104,4475,2025-01-20,Bond,,Sell
105,1917,2024-08-20,ETF,1016.0,Sell
106,5946,2024-10-09,,3501.0,Buy
107,3799,2024-07-24,Bond,3538.0,SELL
108,1590,2024-06-06,Stock,4291.0,Sell
109,3698,2024-07-29,Crypto,4866.0,Buy
110,2209,2025-01-16,bond,2307.0,Sell
111,1754,2025-01-09,etf,4353.0,Buy
112,3847,2024-10-01,Bond,1796.0,Sell
113,2141,2024-06-26,Stock,4552.0,SELL
114,6319,2024-12-27,Bond,-1318.0,Sell
115,2882,2024-12-25,Bond,-816.0,
116,354,2024-07-23,Bond,326.0,Buy
117,2576,2024-11-21,Crypto,1472.0,
118,803,2024-08-22,Stock,-862.0,Sell
119,4791,2025-01-15,bond,4318.0,Sell
120,5145,2024-12-31,ETF,3060.0,Sell
121,308,2024-12-12,Bond,-1815.0,Buy
122,2724,2025-03-06,Stock,944.0,BUY
123,759,2024-12-08,Stock,3876.0,Buy
124,6276,2025-03-04,Stock,1864.0,Buy
125,2443,2024-11-30,ETF,1981.0,Sell
126,658,2024-09-16,bond,1393.0,Buy
127,6288,2024-12-08,ETF,4267.0,Sell
128,4500,2024-06-26,Stock,4135.0,
129,4737,2024-11-14,bond,2363.0,Buy
130,470,2024-10-10,Stock,-1888.0,Sell
131,1037,2024-04-14,Stock,2785.0,Buy
132,5476,2024-05-19,,2804.0,
133,22,2024-05-26,ETF,-1983.0,Buy
134,518,2024-08-16,Stock,3931.0,Sell
135,4362,2024-06-18,Stock,1022.0,
136,1070,2024-08-22,STOCK,4317.0,Buy
137,2759,2024-10-05,Stock,4861.0,
138,5910,2024-04-18,Bond,-776.0,SELL
139,4836,2024-11-28,Bond,482.0,BUY
140,5365,2024-05-13,Crypto,1999.0,Buy
141,2457,2024-11-29,bond,212.0,Sell
142,2864,2024-09-01,ETF,2232.0,Buy
143,4996,2024-12-28,Crypto,-1254.0,Buy
144,1143,2025-01-31,Stock,-1794.0,BUY
145,960,2025-02-05,Crypto,1503.0,Sell
146,5944,2025-03-10,STOCK,-407.0,Buy
147,5533,2024-12-08,ETF,311.0,
148,5539,2024-04-26,Bond,1198.0,SELL
149,2818,2024-08-30,Stock,-1356.0,Sell
150,2629,2025-01-03,ETF,-482.0,
151,495,2024-04-16,Bond,-476.0,Buy
152,1117,2025-03-10,Crypto,-985.0,Buy
153,87,2025-03-14,bond,-771.0,Buy
154,1798,2024-10-10,ETF,4898.0,Sell
155,26,2024-10-01,ETF,2541.0,Sell
156,6139,2024-04-17,ETF,3490.0,Buy
157,6521,2024-11-25,Bond,2881.0,Buy
158,2294,2024-11-29,ETF,-1147.0,Buy
159,841,2024-05-30,stock,-586.0,
160,6116,2024-05-29,Stock,3944.0,
161,4318,2024-12-15,Crypto,1658.0,
162,6002,2025-03-18,Bond,3893.0,Sell
163,3759,2024-07-30,Stock,-271.0,Sell
164,4149,2024-09-10,Bond,730.0,BUY
165,4680,2025-03-12,Bond,-74.0,Buy
166,5090,2024-07-24,ETF,4201.0,Sell
167,6454,2025-02-10,ETF,-894.0,BUY
168,3688,2024-07-28,Bond,1522.0,
169,5079,2024-08-02,bond,307.0,Sell
170,4495,2025-02-10,etf,-1386.0,Sell
171,5930,2025-01-15,Stock,4092.0,BUY
172,1416,2025-02-14,,631.0,Sell
173,3488,2024-12-05,ETF,2144.0,Buy
174,3322,2024-06-17,ETF,-1843.0,Buy
175,5670,2025-01-01,Bond,599.0,Sell
176,3014,2024-06-07,Bond,3141.0,BUY
177,5942,2024-11-20,ETF,3987.0,Sell
178,1910,2024-08-26,Stock,-231.0,Sell
179,4265,2024-12-19,Bond,-205.0,Buy
180,2867,2024-11-22,Bond,907.0,Sell
181,4304,2025-02-02,,4232.0,Buy
182,6248,2024-04-10,etf,-1757.0,Buy
183,4903,2024-12-03,Stock,239.0,Buy
184,6471,2024-04-28,Stock,-236.0,Sell
185,5344,2024-09-30,,,Sell
186,2691,2024-10-02,Bond,4796.0,
187,427,2025-02-01,,1995.0,Buy
188,2166,2024-07-28,Bond,2803.0,Buy
189,5712,2024-08-20,ETF,2048.0,
190,4211,2024-12-17,Bond,-370.0,
191,2336,2024-04-12,etf,-1709.0,
192,4523,2024-09-07,Bond,356.0,SELL
193,6318,2024-11-09,Crypto,4918.0,Buy
194,3975,2024-11-30,Crypto,2317.0,BUY
195,5870,2024-06-09,Stock,2372.0,Buy
196,2380,2024-10-09,etf,3702.0,Buy
197,5172,2024-04-27,stock,117.0,Sell
198,6505,2024-04-25,Bond,2987.0,Buy
